UTM_X,UTM_Y,Cota
425883,4579486,-25
426262,4579486,-25
426640,4579486,-25
427019,4579486,-25
418309,4579773,-25
418688,4579773,-25
419067,4579773,-25
419445,4579773,-25
419824,4579773,-25
420203,4579773,-25
420581,4579773,-25
425126,4579773,-25
425504,4579773,-25
425883,4579773,-25
426262,4579773,-25
426640,4579773,-25
427019,4579773,-25
417931,4580059,-25
418309,4580059,-25
418688,4580059,-25
419067,4580059,-25
419445,4580059,-25
419824,4580059,-25
420203,4580059,-25
420581,4580059,-25
420960,4580059,-25
426262,4580059,-25
426640,4580059,-25
427019,4580059,-25
418688,4580345,-25
419067,4580345,-25
419445,4580345,-25
419824,4580345,-25
420203,4580345,-25
420581,4580345,-25
420960,4580345,-25
426640,4580345,-25
427019,4580345,-25
419824,4580632,-25
420203,4580632,-25
420581,4580632,-25
420960,4580632,-25
426640,4580632,-25
419824,4580918,-25
420203,4580918,-25
420581,4580918,-25
420960,4580918,-25
420581,4581204,-25
420960,4581204,-25
413765,4569465,-30
414144,4569465,-30
414144,4569751,-30
414522,4569751,-30
414144,4570037,-30
416037,4571469,-30
415658,4571755,-30
416037,4571755,-30
416416,4571755,-30
416037,4572042,-30
416416,4572042,-30
416037,4572328,-30
416416,4572328,-30
416794,4572328,-30
417173,4572328,-30
417552,4572328,-30
416416,4572614,-30
416794,4572614,-30
417173,4572614,-30
417552,4572614,-30
416794,4572901,-30
417173,4572901,-30
417552,4572901,-30
416794,4573187,-30
417173,4573187,-30
417552,4573187,-30
417173,4573473,-30
417173,4573760,-30
418688,4574332,-30
418688,4574619,-30
419067,4574619,-30
419445,4574619,-30
419067,4574905,-30
419445,4574905,-30
419824,4574905,-30
419445,4575191,-30
419824,4575191,-30
420203,4575191,-30
419824,4575478,-30
420203,4575478,-30
419824,4575764,-30
420203,4575764,-30
420203,4576050,-30
420581,4576050,-30
420203,4576337,-30
420581,4576337,-30
420203,4576623,-30
420581,4576623,-30
420203,4576909,-30
420581,4576909,-30
420203,4577196,-30
420581,4577196,-30
420203,4577482,-30
420581,4577482,-30
423232,4577482,-30
423611,4577482,-30
419824,4577768,-30
420203,4577768,-30
420581,4577768,-30
420960,4577768,-30
423232,4577768,-30
423611,4577768,-30
419445,4578055,-30
419824,4578055,-30
420203,4578055,-30
420581,4578055,-30
423232,4578055,-30
423611,4578055,-30
423990,4578055,-30
421339,4578341,-30
423232,4578341,-30
423611,4578341,-30
423990,4578341,-30
427019,4578341,-30
421339,4578627,-30
422854,4578627,-30
423232,4578627,-30
423611,4578627,-30
423990,4578627,-30
425126,4578627,-30
425504,4578627,-30
427019,4578627,-30
421339,4578914,-30
421717,4578914,-30
423232,4578914,-30
423611,4578914,-30
423990,4578914,-30
424747,4578914,-30
425126,4578914,-30
425504,4578914,-30
425883,4578914,-30
427019,4578914,-30
427398,4578914,-30
418309,4579200,-30
418688,4579200,-30
419067,4579200,-30
422854,4579200,-30
423232,4579200,-30
423611,4579200,-30
423990,4579200,-30
424368,4579200,-30
424747,4579200,-30
425126,4579200,-30
425504,4579200,-30
425883,4579200,-30
426640,4579200,-30
427019,4579200,-30
427398,4579200,-30
427777,4579200,-30
418309,4579486,-30
418688,4579486,-30
419067,4579486,-30
419445,4579486,-30
423232,4579486,-30
423611,4579486,-30
423990,4579486,-30
424747,4579486,-30
425126,4579486,-30
425504,4579486,-30
425883,4579486,-30
426262,4579486,-30
426640,4579486,-30
427019,4579486,-30
427398,4579486,-30
427777,4579486,-30
418309,4579773,-30
418688,4579773,-30
419067,4579773,-30
419445,4579773,-30
419824,4579773,-30
420203,4579773,-30
420581,4579773,-30
425126,4579773,-30
425504,4579773,-30
425883,4579773,-30
426262,4579773,-30
426640,4579773,-30
427019,4579773,-30
427398,4579773,-30
427777,4579773,-30
417931,4580059,-30
418309,4580059,-30
418688,4580059,-30
419067,4580059,-30
419445,4580059,-30
419824,4580059,-30
420203,4580059,-30
420581,4580059,-30
420960,4580059,-30
425504,4580059,-30
425883,4580059,-30
426262,4580059,-30
426640,4580059,-30
427019,4580059,-30
417931,4580345,-30
418309,4580345,-30
418688,4580345,-30
419067,4580345,-30
419445,4580345,-30
419824,4580345,-30
420203,4580345,-30
420581,4580345,-30
420960,4580345,-30
425883,4580345,-30
426262,4580345,-30
426640,4580345,-30
427019,4580345,-30
417931,4580632,-30
418309,4580632,-30
418688,4580632,-30
419067,4580632,-30
419445,4580632,-30
419824,4580632,-30
420203,4580632,-30
420581,4580632,-30
420960,4580632,-30
426262,4580632,-30
426640,4580632,-30
417931,4580918,-30
418309,4580918,-30
418688,4580918,-30
419067,4580918,-30
419445,4580918,-30
419824,4580918,-30
420203,4580918,-30
420581,4580918,-30
420960,4580918,-30
417931,4581204,-30
418309,4581204,-30
418688,4581204,-30
419067,4581204,-30
419445,4581204,-30
420581,4581204,-30
420960,4581204,-30
417552,4581491,-30
417931,4581491,-30
418309,4581491,-30
418688,4581491,-30
419067,4581491,-30
417552,4581777,-30
417931,4581777,-30
418309,4581777,-30
418688,4581777,-30
419067,4581777,-30
417931,4582063,-30
418309,4582063,-30
418688,4582063,-30
413765,4569465,-35
414144,4569465,-35
414144,4569751,-35
414522,4569751,-35
414144,4570037,-35
416037,4571469,-35
416416,4571469,-35
415658,4571755,-35
416037,4571755,-35
416416,4571755,-35
416037,4572042,-35
416416,4572042,-35
416794,4572042,-35
416037,4572328,-35
416416,4572328,-35
416794,4572328,-35
417173,4572328,-35
417552,4572328,-35
417931,4572328,-35
416416,4572614,-35
416794,4572614,-35
417173,4572614,-35
417552,4572614,-35
416794,4572901,-35
417173,4572901,-35
417552,4572901,-35
416794,4573187,-35
417173,4573187,-35
417552,4573187,-35
417173,4573473,-35
417173,4573760,-35
418688,4574332,-35
418688,4574619,-35
419067,4574619,-35
419445,4574619,-35
419067,4574905,-35
419445,4574905,-35
419824,4574905,-35
419445,4575191,-35
419824,4575191,-35
420203,4575191,-35
419824,4575478,-35
420203,4575478,-35
419824,4575764,-35
420203,4575764,-35
420203,4576050,-35
420581,4576050,-35
420203,4576337,-35
420581,4576337,-35
420203,4576623,-35
420581,4576623,-35
420960,4576623,-35
420203,4576909,-35
420581,4576909,-35
420960,4576909,-35
420203,4577196,-35
420581,4577196,-35
420203,4577482,-35
420581,4577482,-35
420960,4577482,-35
423232,4577482,-35
423611,4577482,-35
419824,4577768,-35
420203,4577768,-35
420581,4577768,-35
420960,4577768,-35
423232,4577768,-35
423611,4577768,-35
419445,4578055,-35
419824,4578055,-35
420203,4578055,-35
420581,4578055,-35
421339,4578055,-35
423232,4578055,-35
423611,4578055,-35
